id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
ace,Ace,ACE,739,0.36105,0.00003218,774877.0,1390372.0,3850914.0,14476036.0,,1.53,-11.59,7.13,1519178358
guncoin,Guncoin,GUN,740,0.006732,0.00000060,1234.03,1361766.0,202282528.0,202282528.0,500000000.0,1.56,-2.2,11.88,1519178342
smartcoin,SmartCoin,SMC,741,0.0561084,0.00000500,9028.57,1344997.0,23971400.0,23971400.0,,1.33,-7.52,2.03,1519178341
roulettetoken,RouletteToken,RLT,742,0.131415,0.00001171,168820.0,1342699.0,10217247.0,10217970.0,,1.59,-10.5,36.31,1519178351
woodcoin,Woodcoin,LOG,743,0.164934,0.00001470,845.14,1325277.0,8035193.0,8035193.0,,1.61,-7.07,40.48,1519178344
elementrem,Elementrem,ELE,744,0.05049,0.00000450,1164.13,1312751.0,26000211.0,26000211.0,,-2.72,-22.44,-22.33,1519178347
fucktoken,FuckToken,FUCK,745,0.0253324,0.00000226,19760.1,1301905.0,51392877.0,70856019.0,,2.49,-4.09,-13.65,1519178352
visio,Visio,VISIO,746,0.0252922,0.00000225,1746.39,1288644.0,50950242.0,62950242.0,,1.39,1.22,19.2,1519178350
elcoin-el,Elcoin,EL,747,0.113808,0.00001014,5462.54,1275670.0,11208967.0,20935289.0,,-0.14,-0.45,1.35,1519178347
britcoin,BritCoin,BRIT,748,0.0596118,0.00000531,572.277,1267829.0,21268092.0,21268092.0,,1.53,-5.96,-16.24,1519178342
royal-kingdom-coin,Royal Kingdom Coin,RKC,749,0.466273,0.00004156,44477.0,1258937.0,2700000.0,15000000.0,,8.05,-9.35,-10.3,1519178355
steneum-coin,Steneum Coin,STN,750,0.564344,0.00005030,89675.2,1251422.0,2217480.0,5372324.0,20000000.0,18.88,-0.03,103.78,1519178359
piplcoin,PiplCoin,PIPL,751,0.0148386,0.00000132,7254.45,1238196.0,83444258.0,7489958537.0,7531907537.0,1.65,-2.02,-23.26,1519178355
hitcoin,HitCoin,HTC,752,0.0001122,0.00000001,2864.41,1233787.0,10996318099.0,20996318099.0,,1.39,-1.77,-4.43,1519178347
cryptocarbon,CryptoCarbon,CCRB,753,0.34162,0.00003045,40856.6,1216888.0,3562111.0,70000000.0,70000000.0,2.72,-19.23,-15.95,1519178349
erc20,ERC20,ERC20,754,0.000766016,0.00000007,38889.7,1206277.0,1574741156.0,1693691126.0,,2.64,-7.01,-13.76,1519178357
ultracoin,UltraCoin,UTC,755,0.025806,0.00000230,880.1,1181442.0,45781667.0,45781667.0,,-6.19,-16.62,17.9,1519178341
droxne,DROXNE,DRXNE,756,0.0172788,0.00000154,9536.89,1166318.0,67499928.0,88067149.0,,1.39,-6.91,25.78,1519178354
wavesgo,WavesGo,WGO,757,0.122634,0.00001093,1128.41,1165480.0,9503724.0,9503724.0,,3.92,14.51,51.38,1519178350
titcoin,Titcoin,TIT,758,0.0231526,0.00000206,2007.7,1155273.0,49898202.0,49898202.0,,1.58,0.27,35.1,1519178343
soma,Soma,SCT,759,0.271748,0.00002422,2301.8,1130625.0,4160566.0,14418075.0,,1.39,-6.49,-2.83,1519178358
halcyon,Halcyon,HAL,760,0.202072,0.00001801,649.64,1122020.0,5552577.0,5552577.0,,1.73,-13.57,-7.84,1519178343
trollcoin,Trollcoin,TROLL,761,0.00190968,0.00000017,1887.58,1087809.0,569628815.0,569628815.0,,-4.03,-12.01,6.03,1519178344
trumpcoin,TrumpCoin,TRUMP,762,0.162771,0.00001451,7456.43,1066343.0,6551184.0,6551184.0,,4.56,-7.06,8.82,1519178347
capricoin,Capricoin,CPC,763,0.524478,0.00004674,94566.9,1043735.0,1990045.0,200995023.0,205000000.0,4.37,-10.84,0.65,1519178346
nyancoin,Nyancoin,NYAN,764,0.00325382,0.00000029,2269.69,1037739.0,318929301.0,318929301.0,337000000.0,1.56,-5.04,12.68,1519178341
fuelcoin,FuelCoin,FC2,765,0.010098,0.00000090,5124.87,1026775.0,101681007.0,101681007.0,,1.56,-6.93,-1.38,1519178343
bitcoin-red,Bitcoin Red,BTCRED,766,0.0495121,0.00000441,4118.78,1017474.0,20550001.0,21000000.0,,1.48,-8.45,-0.23,1519178356
dfscoin,DFSCoin,DFS,767,0.0592296,0.00000528,3764.98,1008741.0,17031022.0,45472815.0,210000000.0,3.07,-4.26,-6.41,1519178354
triangles,Triangles,TRI,768,9.53756,0.00085005,1994.8,1006895.0,105572.0,105572.0,,1.61,-1.82,1.13,1519178343
cryptoforecast,CryptoForecast,CFT,769,0.021879,0.00000195,2733.52,1006434.0,46000000.0,50000000.0,,1.39,-15.61,-12.93,1519178351
purevidz,PureVidz,VIDZ,770,0.00799145,0.00000071,15920.5,1001167.0,125279775.0,125279775.0,,1.39,-6.48,23.62,1519178349
grimcoin,Grimcoin,GRIM,771,0.0145597,0.00000130,543.892,983960.0,67581061.0,81747800.0,,1.48,-18.47,88.3,1519178357
argentum,Argentum,ARG,772,0.108939,0.00000971,2738.83,981486.0,9009499.0,9009499.0,,1.53,0.95,46.49,1519178340
ammo-rewards,Ammo Reloaded,AMMO,773,0.0124542,0.00000111,1131.34,968660.0,77777777.0,77777777.0,,1.39,4.76,59.64,1519178351
bigup,BigUp,BIGUP,774,0.00045213,0.00000004,1215.93,966461.0,2137572489.0,2137572489.0,,2.67,57.35,1.92,1519178346
